annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,nombre_de_gagnant_au_rang7,rapport_du_rang7,nombre_de_gagnant_au_rang8,rapport_du_rang8,nombre_de_gagnant_au_rang9,rapport_du_rang9,nombre_de_codes_gagnants,rapport_codes_gagnants,codes_gagnants,boule_1_second_tirage,boule_2_second_tirage,boule_3_second_tirage,boule_4_second_tirage,boule_5_second_tirage,promotion_second_tirage,combinaison_gagnant_second_tirage_en_ordre_croissant,nombre_de_gagnant_au_rang_1_second_tirage,rapport_du_rang1_second_tirage,nombre_de_gagnant_au_rang_2_second_tirage,rapport_du_rang2_second_tirage,nombre_de_gagnant_au_rang_3_second_tirage,rapport_du_rang3_second_tirage,nombre_de_gagnant_au_rang_4_second_tirage,rapport_du_rang4_second_tirage,numero_jokerplus,devise
20222049,SAMEDI,23/04/2022,23/06/2022,44,20,11,9,42,4,9-11-20-42-44+4,,4000000,10,24917.1,51,1192.4,542,404.7,2771,47.3,24773,19,39378,9.3,356428,4,480250,2.2,10,20000,"Q 6671 9596,K 0086 5857,C 2454 1425,E 2949 2648,B 4740 9029,V 2929 3566,R 0034 0894,N 3467 0868,T 3243 9912,O 5610 2506",3,35,39,43,44,,3-35-39-43-44,2,83508,182,1130.2,10142,52.1,162677,3,,eur
20222048,MERCREDI,20/04/2022,20/06/2022,45,46,4,13,33,7,4-13-33-45-46+7,,3000000,,149710.4,55,3386.3,290,454.4,2208,35.6,13809,20.5,34123,6.4,205809,4.2,488665,2.2,10,20000,"U 8049 3866,T 0332 3322,S 6528 0934,C 9061 2804,V 8114 3109,S 2568 4751,M 6659 5059,G 8499 1434,S 9049 3670,M 3982 6126",14,19,39,43,44,,14-19-39-43-44,,118980,156,864.4,8310,41.7,129812,3,,eur
20222047,LUNDI,18/04/2022,18/06/2022,10,39,33,9,47,5,9-10-33-39-47+5,,2000000,,117887.8,25,5866.4,172,603.3,1049,59.1,8974,24.8,18883,9.1,147315,4.6,295001,2.2,10,20000,"W 2613 0051,N 5908 3385,E 2608 2822,I 5525 0024,Q 8861 3603,L 2308 6043,I 7922 8386,F 8372 1225,B 8930 9065,P 5884 3345",5,24,27,30,45,,5-24-27-30-45,,100000,159,528.7,8111,26.6,114355,3,,eur
20222046,SAMEDI,16/04/2022,16/06/2022,4,41,30,27,21,6,4-21-27-30-41+6,1,20000000,5,67538.9,72,1144.7,676,439.7,3280,54.1,30753,20.7,45902,10.8,440137,4.4,605567,2.2,10,20000,"S 7179 1384,V 3473 9518,U 8691 8250,T 1114 3287,F 8143 4951,D 0645 6231,D 8664 3646,L 9930 4072,B 6163 5338,A 8144 0398",1,19,20,44,45,,1-19-20-44-45,4,53744,373,605,16308,35.5,255931,3,,eur
20222045,MERCREDI,13/04/2022,13/06/2022,36,29,44,46,35,8,29-35-36-44-46+8,,19000000,2,108702.1,46,1153.5,316,605.6,1750,65.3,14866,27.6,26487,12,220895,5.7,474773,2.2,10,20000,"E 6508 4745,V 3054 1558,A 7182 4604,J 6204 0652,U 3226 2645,Q 2117 3649,J 7060 0925,I 3013 2059,B 0154 8244,W 2572 3799",2,9,11,12,24,,2-9-11-12-24,6,24297,758,130.9,22714,11.2,237535,3,,eur
20222044,LUNDI,11/04/2022,11/06/2022,32,3,22,18,17,10,3-17-18-22-32+10,,18000000,1,206893.2,40,1262.4,400,455.3,1672,65,19698,19.8,23857,12.7,282570,4.2,305535,2.2,10,20000,"N 2823 3518,C 7214 4472,I 5370 9769,L 2667 0091,M 8161 1681,U 8360 3086,G 9428 5127,P 0288 2900,H 9668 3450,W 2552 8874",8,13,15,29,41,,8-13-15-29-41,4,31882,365,317.8,14064,21.2,173065,3,,eur
20222043,SAMEDI,09/04/2022,09/06/2022,3,15,13,29,40,10,3-13-15-29-40+10,,17000000,3,109413.3,70,1144.5,825,350.2,2810,61.4,33166,18.7,39201,12.3,451312,4.2,494661,2.2,10,20000,"T 4634 9386,M 4216 4174,B 6748 8824,M 2492 8330,L 4097 9539,L 1573 0280,F 7194 6196,F 1123 6498,W 2540 4870,O 8525 8993",10,18,24,28,38,,10-18-24-28-38,,200623,502,382.2,20264,24.3,261130,3,,eur
20222042,MERCREDI,06/04/2022,06/06/2022,6,20,48,12,38,7,6-12-20-38-48+7,,16000000,3,63674.3,59,790.2,453,371.2,3025,33.2,20723,17.4,44414,6.3,291959,3.8,582945,2.2,10,20000,"T 1720 5471,M 7092 9475,B 4270 1420,S 2145 7078,K 3756 2222,M 7656 3127,H 3736 8498,A 9777 6745,G 7565 5184,A 1156 7546",15,24,36,41,49,,15-24-36-41-49,,143144,225,735.3,10022,42.4,152335,3,,eur
20222041,LUNDI,04/04/2022,04/06/2022,23,22,33,36,10,6,10-22-23-33-36+6,,15000000,,191656.6,50,4768.7,338,499.1,1779,56.6,17318,20.9,26263,10.7,252832,4.4,349546,2.2,10,20000,"U 4970 2648,Q 7193 1118,F 8513 6798,U 9106 1453,O 9490 9874,S 1219 1430,F 6050 9979,A 7192 2095,L 4743 7689,N 1475 6987",3,18,27,39,44,,3-18-27-39-44,1,124495,254,507,10867,30.4,150470,3,,eur
20222040,SAMEDI,02/04/2022,02/06/2022,15,6,11,28,24,10,6-11-15-24-28+10,,14000000,14,20466.1,81,863.3,1133,222.6,3275,46,39319,13.7,36083,11.6,443231,3.7,409767,2.2,10,20000,"S 7047 7071,D 6616 9297,E 5206 4071,C 9721 5232,B 4993 3730,R 2409 6941,V 4508 3190,V 3715 4716,S 3601 5007,L 5829 1985",1,2,19,25,26,,1-2-19-25-26,3,58180,437,360.9,18033,22.4,238139,3,,eur
20222039,MERCREDI,30/03/2022,30/05/2022,12,34,16,26,10,7,10-12-16-26-34+7,,4000000,1,147051.3,67,535.6,437,296.2,3113,24.8,19010,14.6,40808,5.3,244710,3.5,471279,2.2,10,20000,"F 2780 4437,S 6783 9060,D 9298 8046,S 7401 0131,L 7795 2979,R 9258 0068,W 2459 8563,P 6655 6038,J 8249 0306,U 2414 9109",4,5,17,30,37,,4-5-17-30-37,,115765,256,433.7,10516,27.1,150305,3,,eur
20222038,LUNDI,28/03/2022,28/05/2022,16,48,21,5,26,10,5-16-21-26-48+10,,3000000,,148633.8,26,7111.9,301,434.7,1170,66.8,14210,19.8,15864,13.7,193252,4.4,204791,2.2,10,20000,"E 0542 5694,L 6984 2302,C 4890 8933,A 2177 9724,U 9836 0181,L 7018 0167,B 9440 3044,C 9140 6253,F 9954 1956,U 6289 4593",3,8,24,33,38,,3-8-24-33-38,,100000,170,580.8,7977,31.8,117832,3,,eur
20222037,SAMEDI,26/03/2022,26/05/2022,40,10,37,34,12,5,10-12-34-37-40+5,,2000000,1,219866,65,825.6,395,490,2228,51.9,17827,23.3,35530,9.1,282122,4.5,529649,2.2,10,20000,"E 8289 0430,I 9592 5960,V 6767 5653,P 7717 7760,H 4521 9970,O 6548 3062,A 1284 9233,D 7477 8425,H 7086 7844,J 1924 7562",20,25,33,42,45,,20-25-33-42-45,2,78926,268,677.9,11372,41,168894,3,,eur
20222036,MERCREDI,23/03/2022,23/05/2022,20,2,29,39,18,10,2-18-20-29-39+10,1,3000000,1,184689.9,34,1325.8,300,541.9,1322,73.4,15580,22.4,19899,13.6,227182,4.7,270731,2.2,10,20000,"J 6636 4978,L 8669 4301,V 4103 6682,Q 8996 1862,V 0630 6761,A 5081 3334,I 3014 4554,D 4662 9754,P 8717 4111,H 6430 7235",21,22,27,29,32,,21-22-27-29-32,2,58164,274,431.3,9632,31.5,143176,3,,eur
20222035,LUNDI,21/03/2022,21/05/2022,10,26,46,35,5,9,5-10-26-35-46+9,,2000000,2,70260,27,1270.2,252,490.8,1341,55.1,12042,22,19855,10.4,182985,4.4,282231,2.2,10,20000,"R 3286 9599,H 6942 6707,T 3414 7413,S 9189 5503,R 0653 6673,R 8937 0082,Q 4985 5208,R 6412 7382,F 3619 6732,H 4514 8302",14,30,36,39,40,,14-30-36-39-40,,100000,128,978.9,5813,55.4,93959,3,,eur
20222034,SAMEDI,19/03/2022,19/05/2022,44,38,33,49,41,7,33-38-41-44-49+7,1,15000000,5,48089,81,724.5,492,430.2,3037,41.6,20631,22,45674,7.7,299305,4.6,787367,2.2,10,20000,"R 5734 8295,R 1816 9216,W 2423 8993,V 2663 7164,F 4183 8004,K 0980 3337,J 0891 4391,V 2401 0436,Q 6572 0294,F 4648 0318",2,8,19,21,30,,2-8-19-21-30,6,30979,630,255.9,22101,18.7,261613,3,,eur
20222033,MERCREDI,16/03/2022,16/05/2022,1,49,12,39,24,3,1-12-24-39-49+3,,14000000,6,34420.2,55,916.4,484,375.6,2363,45.9,20642,18.9,32748,9.2,287092,4.1,433355,2.2,10,20000,"A 4951 5744,C 7808 4886,K 3380 7068,D 6446 8495,K 9216 4050,R 0656 9818,B 8414 5367,P 2092 3460,I 4085 4311,J 9694 9260",7,24,33,34,36,,7-24-33-34-36,2,68845,203,742.3,10154,38.1,156578,3,,eur
